Date,High,Low,Open,Close,Volume,Adj Close
2017-05-25,140.899993896,139.830001831,139.910003662,140.690002441,506200.0,137.142608643
2017-05-26,141.11000061,139.789993286,140.630004883,140.210006714,972800.0,136.674697876
2017-05-30,140.919998169,139.759994507,140.039993286,140.809997559,635900.0,137.259567261
2017-05-31,142.929992676,140.539993286,140.830001831,142.809997559,1437500.0,139.209121704
2017-06-01,145.300003052,143.089996338,143.210006714,143.699996948,1798600.0,140.076675415
2017-06-02,144.63999939,143.080001831,144.059997559,144.160003662,1174500.0,140.525085449
2017-06-05,144.679992676,143.759994507,144.190002441,144.399993896,584000.0,140.759017944
2017-06-06,144.36000061,143.399993896,144.0,143.929992676,1057600.0,140.300872803
2017-06-07,146.320007324,144.100006104,144.369995117,146.009994507,1339000.0,142.328430176
2017-06-08,146.419998169,144.899993896,146.009994507,145.61000061,1423000.0,141.938522339
2017-06-09,147.539993286,144.789993286,145.699996948,146.809997559,1064500.0,143.108261108
2017-06-12,147.029998779,144.350006104,146.809997559,145.690002441,1293100.0,142.016525269
2017-06-13,146.880004883,144.809997559,145.899993896,146.5,1136900.0,142.80607605
2017-06-14,148.160003662,146.210006714,146.460006714,147.410003662,1138200.0,143.693145752
2017-06-15,148.490005493,146.259994507,146.88999939,148.440002441,856400.0,144.697158813
2017-06-16,149.169998169,147.850006104,148.830001831,148.490005493,1324300.0,144.745925903
2017-06-19,150.399993896,148.820007324,149.580001831,149.399993896,1167000.0,145.632949829
2017-06-20,149.380004883,146.86000061,149.369995117,147.220001221,1331800.0,143.50793457
2017-06-21,147.690002441,144.800003052,147.220001221,145.220001221,1627500.0,141.558364868
2017-06-22,145.699996948,144.679992676,145.229995728,145.380004883,1327500.0,141.714309692
2017-06-23,147.119995117,145.160003662,145.779998779,146.699996948,1515300.0,143.001052856
2017-06-26,148.100006104,146.169998169,147.169998169,146.270004272,836800.0,142.58190918
2017-06-27,147.550003052,145.559997559,146.710006714,146.089996338,838000.0,142.406417847
2017-06-28,149.050003052,146.580001831,146.899993896,148.899993896,1081500.0,145.145568848
2017-06-29,149.880004883,145.869995117,149.11000061,146.039993286,1404200.0,142.357681274
2017-06-30,146.839996338,145.710006714,146.380004883,145.990005493,1934000.0,142.308959961
2017-07-03,147.63999939,145.720001221,146.419998169,145.720001221,599800.0,142.045761108
2017-07-05,148.419998169,146.070007324,146.070007324,147.529998779,1240100.0,143.810119629
2017-07-06,147.869995117,145.75,147.270004272,146.350006104,1015300.0,142.659881592
2017-07-07,149.800003052,145.970001221,146.509994507,148.789993286,1338400.0,145.038314819
2017-07-10,149.270004272,148.039993286,148.550003052,148.800003052,1237000.0,145.048141479
2017-07-11,148.550003052,146.960006714,148.309997559,147.899993896,800100.0,144.170806885
2017-07-12,149.880004883,148.020004272,148.479995728,149.440002441,970900.0,145.671981812
2017-07-13,150.009994507,148.289993286,149.350006104,149.649993896,1415100.0,145.876647949
2017-07-14,149.990005493,148.589996338,149.220001221,149.470001221,1349800.0,145.701202393
2017-07-17,149.960006714,148.570007324,149.259994507,149.509994507,1117100.0,145.740188599
2017-07-18,150.160003662,148.190002441,148.789993286,149.869995117,584000.0,146.091125488
2017-07-19,150.350006104,149.380004883,150.009994507,150.190002441,892000.0,146.403060913
2017-07-20,151.630004883,150.210006714,150.330001831,151.119995117,1046300.0,147.30960083
