Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,103.279998779,101.970001221,103.010002136,102.36000061,1230000.0,93.7768630981
2017-01-11,103.290000916,101.949996948,102.169998169,102.199996948,935600.0,93.6302642822
2017-01-12,103.209999084,101.569999695,102.040000916,102.5,1058500.0,93.9051132202
2017-01-13,102.940002441,102.089996338,102.239997864,102.290000916,718700.0,93.7127227783
2017-01-17,103.769996643,102.5,102.88999939,103.339996338,1413000.0,94.6746749878
2017-01-18,105.0,102.849998474,102.940002441,104.629997253,1854500.0,95.8565063477
2017-01-19,104.900001526,103.099998474,103.779998779,104.75,983100.0,95.9664382935
2017-01-20,106.400001526,105.069999695,105.099998474,105.800003052,1526800.0,96.9283981323
2017-01-23,106.38999939,105.519996643,105.699996948,106.050003052,990300.0,97.1574401855
2017-01-24,107.720001221,105.769996643,106.089996338,107.349998474,1175600.0,98.3484191895
2017-01-25,108.0,106.5,107.300003052,107.38999939,1302400.0,98.3850860596
2017-01-26,108.349998474,107.0,107.589996338,107.569999695,1296000.0,98.5499801636
2017-01-27,107.800003052,105.930000305,107.760002136,106.430000305,849100.0,97.5055770874
2017-01-30,106.540000916,105.760002136,106.540000916,106.419998169,774000.0,97.4964065552
2017-01-31,108.069999695,106.589996338,106.589996338,107.629997253,1303900.0,98.60496521
2017-02-01,107.760002136,106.220001221,107.470001221,106.400001526,1019900.0,97.4780883789
2017-02-02,107.5,106.220001221,106.699996948,106.870002747,955700.0,97.9086837769
2017-02-03,109.0,107.38999939,107.720001221,107.75,964100.0,98.714881897
2017-02-06,107.61000061,105.540000916,107.370002747,106.88999939,1446500.0,97.9270095825
2017-02-07,107.809997559,106.580001831,107.010002136,107.13999939,663200.0,98.1560440063
2017-02-08,108.540000916,106.629997253,107.269996643,107.75,868100.0,98.714881897
2017-02-09,108.180000305,106.660003662,107.75,107.769996643,712800.0,98.7332000732
2017-02-10,108.080001831,106.180000305,107.720001221,107.199996948,1801600.0,98.2110137939
2017-02-13,107.970001221,107.0,107.650001526,107.239997864,1115900.0,98.2476577759
2017-02-14,107.199996948,105.0,107.199996948,105.300003052,1837500.0,96.4703369141
2017-02-15,104.86000061,103.440002441,104.86000061,104.430000305,2573500.0,95.6732711792
2017-02-16,105.589996338,102.819999695,104.739997864,103.13999939,2274200.0,94.4914474487
2017-02-17,106.0,101.699996948,105.069999695,104.150001526,2336800.0,95.4167556763
2017-02-21,104.970001221,103.879997253,104.150001526,104.720001221,1520200.0,95.9389572144
2017-02-22,105.800003052,103.230003357,104.61000061,103.699996948,1317300.0,95.0044937134
2017-02-23,106.069999695,103.540000916,104.099998474,105.830001831,1299500.0,96.9558868408
2017-02-24,108.410003662,105.550003052,105.970001221,107.830001831,1403700.0,98.7881774902
2017-02-27,108.440002441,107.459999084,108.029998779,107.61000061,671000.0,98.5866241455
2017-02-28,108.430000305,106.870002747,107.629997253,108.0,1348600.0,98.9439315796
2017-03-01,108.550003052,106.269996643,107.430000305,108.040000916,1229500.0,98.9805679321
2017-03-02,108.629997253,106.440002441,108.040000916,107.36000061,908300.0,98.3575820923
2017-03-03,108.540000916,106.660003662,107.180000305,108.330001831,794400.0,99.2462539673
2017-03-06,108.160003662,106.940002441,108.0,107.699996948,666800.0,98.6690750122
2017-03-07,108.220001221,106.849998474,107.25,107.480003357,642100.0,98.4675292969
2017-03-08,107.209999084,104.290000916,107.209999084,104.379997253,1769900.0,95.6274795532
2017-03-09,104.949996948,103.239997864,104.309997559,103.980003357,1428000.0,95.2610168457
2017-03-10,105.879997253,103.38999939,103.980003357,103.900001526,870900.0,95.1877288818
2017-03-13,103.489997864,101.849998474,103.330001831,103.160003662,1121500.0,95.3633575439
2017-03-14,103.160003662,102.11000061,103.150001526,102.400001526,862300.0,94.6608047485
2017-03-15,104.769996643,103.0,103.0,104.510002136,2187900.0,96.611328125
2017-03-16,104.849998474,102.949996948,104.400001526,103.410003662,1157900.0,95.5944671631
2017-03-17,104.279998779,102.879997253,103.599998474,102.88999939,1790700.0,95.1137695312
2017-03-20,104.379997253,102.940002441,102.949996948,103.730003357,1261900.0,95.8902893066
2017-03-21,105.0,103.349998474,104.11000061,103.459999084,885300.0,95.6406936646
2017-03-22,104.879997253,103.449996948,104.099998474,104.629997253,970600.0,96.7222595215
2017-03-23,105.819999695,104.160003662,104.61000061,104.900001526,762900.0,96.9718475342
