Date,High,Low,Open,Close,Volume,Adj Close
2016-12-03,772.320007324,755.809997559,770.940002441,764.239990234,30234128,764.239990234
2016-12-04,769.229980469,758.799987793,764.239990234,766.390014648,14755120,766.390014648
2016-12-05,769.179992676,746.010009766,766.390014648,754.340026855,39082688,754.340026855
2016-12-06,762.479980469,750.909973145,754.340026855,758.210021973,25497771,758.210021973
2016-12-07,769.020019531,754.270019531,758.210021973,765.559997559,26755412,765.559997559
2016-12-08,773.409973145,761.16998291,765.559997559,768.489990234,22208497,768.489990234
2016-12-09,773.479980469,765.030029297,768.489990234,770.479980469,18722048,770.479980469
2016-12-10,776.960021973,769.190002441,770.479980469,774.0,14049110,774.0
2016-12-11,774.159973145,763.0,774.0,767.909973145,13269086,767.909973145
2016-12-12,781.260009766,767.859985352,767.909973145,778.469970703,22442991,778.469970703
2016-12-13,790.33001709,767.770019531,778.469970703,778.739990234,25894856,778.739990234
2016-12-14,780.770019531,771.010009766,778.739990234,776.5,19326375,776.5
2016-12-15,780.270019531,773.119995117,776.5,775.210021973,20452116,775.210021973
2016-12-16,783.940002441,773.309997559,775.210021973,782.049987793,21650384,782.049987793
2016-12-17,791.570007324,779.359985352,782.049987793,787.16998291,18648778,787.16998291
2016-12-18,791.260009766,783.799987793,787.16998291,789.010009766,11525747,789.010009766
2016-12-19,793.729980469,786.309997559,789.010009766,789.789978027,20238681,789.789978027
2016-12-20,800.020019531,787.119995117,789.789978027,799.099975586,27406319,799.099975586
2016-12-21,833.130004883,795.979980469,799.099975586,829.210021973,53411082,829.210021973
2016-12-22,874.679992676,828.869995117,829.210021973,860.150024414,60511618,860.150024414
2016-12-23,920.260009766,858.039978027,860.150024414,917.16998291,91802931,917.16998291
2016-12-24,920.489990234,880.789978027,917.16998291,891.070007324,41576781,891.070007324
2016-12-25,895.239990234,851.41998291,891.070007324,891.070007324,37173377,891.070007324
2016-12-26,909.320007324,885.880004883,891.070007324,898.380004883,35002753,898.380004883
2016-12-27,937.909973145,893.380004883,898.380004883,925.780029297,45966615,925.780029297
2016-12-28,974.510009766,925.489990234,925.780029297,972.16998291,73811803,972.16998291
2016-12-29,982.570007324,949.229980469,972.16998291,971.08001709,59226667,971.08001709
2016-12-30,971.590026855,927.400024414,971.08001709,959.039978027,67449149,959.039978027
2016-12-31,965.469970703,942.400024414,959.039978027,963.380004883,26379401,963.380004883
2017-01-01,1001.60998535,956.099975586,963.380004883,995.440002441,40570922,995.440002441
2017-01-02,1031.68005371,990.200012207,995.440002441,1017.04998779,66038073,1017.04998779
2017-01-03,1035.4699707,1006.5300293,1017.04998779,1033.30004883,56085870,1033.30004883
2017-01-04,1148.54003906,1022.32000732,1033.30004883,1135.41003418,170584623,1135.41003418
2017-01-05,1150.63000488,874.530029297,1135.41003418,989.349975586,244839289,989.349975586
2017-01-06,1027.42004395,852.549987793,989.349975586,886.159973145,179160668,886.159973145
2017-01-07,900.859985352,806.659973145,886.159973145,888.869995117,113037531,888.869995117
2017-01-08,936.130004883,875.849975586,888.869995117,900.859985352,70298340,900.859985352
2017-01-09,910.469970703,870.909973145,900.859985352,899.780029297,55963281,899.780029297
2017-01-10,911.320007324,890.119995117,899.780029297,904.369995117,48644106,904.369995117
2017-01-11,917.650024414,751.630004883,904.369995117,785.429992676,160194109,785.429992676
2017-01-12,828.210021973,739.549987793,785.429992676,810.109985352,93986701,810.109985352
2017-01-13,835.049987793,771.0,810.109985352,824.83001709,72555875,824.83001709
2017-01-14,838.900024414,808.270019531,824.83001709,819.630004883,36594482,819.630004883
2017-01-15,826.429992676,808.630004883,819.630004883,821.16998291,20004735,821.16998291
2017-01-16,836.659973145,817.700012207,821.16998291,827.340026855,27592899,827.340026855
